course_id,name,specialisation
0,Diverse background workforce,Mindfulness
1,Up-sized bandwidth-monitored model,Relationships
2,Synergized leadingedge flexibility,Happiness Coaching
3,Realigned asymmetric capacity,Depression
4,Multi-layered interactive data-warehouse,Stress Management
5,Re-engineered actuating architecture,Happiness Coaching
6,Pre-emptive eco-centric middleware,Nutrition
7,Customer-focused tangible orchestration,Depression
8,Phased needs-based methodology,Happiness Coaching
9,Mandatory systemic instruction set,Self-esteem
10,Focused holistic hierarchy,Depression
11,Assimilated tangible Graphic Interface,Relationships
12,Devolved value-added utilization,Happiness Coaching
13,Front-line tertiary help-desk,Exercise
14,Universal needs-based installation,Nutrition
15,Multi-lateral 24/7 throughput,Happiness Coaching
16,Multi-lateral 24/7 secured line,Mindfulness
17,Open-source executive concept,Sleep
18,Innovative dedicated orchestration,Mindfulness
19,Sharable global neural-net,Depression
20,Diverse 4thgeneration definition,Anxiety
21,Centralized encompassing standardization,Exercise
22,Pre-emptive global archive,Mindfulness
23,Fully-configurable 24/7 moratorium,Anxiety
24,Configurable motivating database,Exercise
25,Re-contextualized dynamic focus group,Relationships
26,Optional content-based array,Nutrition
27,Devolved directional encryption,Depression
28,Synchronized local product,Depression
29,Expanded background groupware,Anxiety
30,Vision-oriented next generation protocol,Self-esteem
31,Open-architected actuating hierarchy,Happiness Coaching
32,Upgradable multimedia encoding,Sleep
33,Robust global standardization,Mindfulness
34,Centralized regional parallelism,Exercise
35,Digitized exuding concept,Mindfulness
36,Reactive scalable customer loyalty,Depression
37,Public-key contextually-based collaboration,Sleep
38,Automated cohesive database,Relationships
39,Phased zero tolerance access,Self-esteem
40,User-centric user-facing matrices,Relationships
41,Future-proofed well-modulated initiative,Mindfulness
42,Fundamental analyzing ability,Depression
43,Organized zero-defect moratorium,Depression
44,Cloned tangible portal,Depression
45,Synchronized scalable policy,Depression
46,Implemented attitude-oriented definition,Happiness Coaching
47,Right-sized homogeneous solution,Nutrition
48,Focused even-keeled capability,Mindfulness
49,Monitored scalable orchestration,Nutrition
